UID,State,Office Level,Body Name,Body Represents - State,Body Represents - County,Body Represents - Muni,Electoral District,Office Name,Official Name,Website,Twitter Name
CAe00299,CA,County,Orange County Board of Supervisors,CA,Orange,,"Orange County, Supervisor District 5","Board of Supervisors, District 5",Patricia Bates,http://media.ocgov.com/gov/bos/5/default.asp,SupervisorBates
CAe00193,CA,County,Los Angeles County Board of Supervisors,CA,Los Angeles,,"Los Angeles County, Supervisor District 4","Board of Supervisors, District 4",Don Knabe,http://knabe.com/,DonKnabe
TNe00692,TN,County,Davidson County Elected Officials,TN,Davidson,,Davidson County,Metro Clerk,Ana Escobar,http://www.nashville.gov/Metro-Clerk.aspx,escobarana
FEe00264,AR,Federal - Lower,US House of Representatives,AR,,,AR Congressional District 3,United States House of Representatives AR-03,Steve Womack,http://womack.house.gov/,rep_stevewomack
NJe00136,NJ,County,Morris Board of Chosen Freeholders,NJ,Morris,,Morris,Board of Chosen Freeholders,Douglas Cabana,http://www.morriscountynj.gov/freeholders/13bio_cabana.asp,morriscountynj
FEe00363,MO,Federal - Lower,US House of Representatives,MO,,,MO Congressional District 8,United States House of Representatives MO-08,Jason Smith,http://jasonsmith.house.gov/,RepJasonSmith
FEe00493,IA,Federal - Upper,US Senate,IA,,,IA,United States Senate,Chuck Grassley,http://www.grassley.senate.gov/,ChuckGrassley
ALe00030,AL,County,Baldwin County Elected Officials,AL,Baldwin,,Baldwin County,Sheriff,Huey Mack,http://www.sheriffofbaldwin.com/page.asp?pageID=212&categoryID=1,1BC_SO
NYe00350,NY,County,Dutchess County Legislature,NY,Dutchess,,Dutchess County District 10,"County Legislature, District 10",Barbara Jeter-Jackson,http://www.co.dutchess.ny.us/CountyGov/Departments/Legislature/CLlegislators.htm,DutchessCoGov
OHe00849,OH,County,Summit County Elected Officials,OH,Summit,,Summit County,County Executive,Russell Pry,http://www.summitcountyboe.com/WebApps/cnm.aspx,SummitExecutive
NYe01363,NY,County,Westchester County Board of Legislators,NY,Westchester,,Westchester County District 9,"County Legislature, District 9",Catherine Borgia,http://westchesterlegislators.com/district-9/e-mail-district-9.html,westchesterBOL
FEe00362,MO,Federal - Lower,US House of Representatives,MO,,,MO Congressional District 7,United States House of Representatives MO-07,Billy Long,http://long.house.gov/,USRepLong
FLe00036,FL,County,Bradford County Constitutional Officers,FL,Bradford,,Bradford County,Sheriff,Gordon Smith,http://www.bradfordsheriff.org/,BradfordSheriff
VAe000011,VA,Federal - Lower,US House of Representatives,VA,,,VA Congressional District 9,United States House of Representatives - VA-09,Morgan Griffith,http://morgangriffith.house.gov/,RepMGriffith
KSe00645,KS,County,Reno County Board of Commissioners,KS,Reno,,Reno County Commissioner District 3,"County Commission, District 3",Brad Dillon,http://www.renogov.org/commission/,RenoCountyKS
NJe00184,NJ,County,Sussex Board of Chosen Freeholders,NJ,Sussex,,Sussex,Board of Chosen Freeholders,Richard Vohden,http://www.sussex.nj.us/Cit-e-Access/TownCouncil/?CID=25&TID=7,sussexnj
FEe00287,FL,Federal - Lower,US House of Representatives,FL,,,FL Congressional District 3,United States House of Representatives FL-03,Ted Yoho,http://yoho.house.gov/,RepTedYoho
MDe00006,MD,County,Anne Arundel County Constitutional Officers,MD,Anne Arundel,,Anne Arundel County,Clerk Of Circuit Court,Robert Duckworth,http://www.clerkannearundel.org/,ClerkAA
CIe00405,MI,City,Detroit City Council,MI,,Detroit,Detroit,Council,Saunteel Jenkins,http://www.detroitmi.gov/CityCouncil/CouncilMemberSaunteelJenkinsat-Large.aspx,SaunteelJenkins
FEe00144,NY,Federal - Lower,US House of Representatives,NY,,,NY Congressional District 15,United States House of Representatives NY-15,Jose E. Serrano,http://serrano.house.gov/,RepJoseSerrano
DEe00026,DE,County,County Council,DE,New Castle,,New Castle County,Council President,Chris Bullock,http://www2.nccde.org/council/president/default.aspx,ncco_de
VAe000012,VA,Federal - Lower,US House of Representatives,VA,,,VA Congressional District 10,United States House of Representatives - VA-10,Frank Wolf,http://www.house.gov/wolf/,repwolfpress
FEe00126,NJ,Federal - Lower,US House of Representatives,NJ,,,NJ Congressional District 8,United States House of Representatives NJ-08,Albio Sires,http://sires.house.gov/,RepSires
ARe01112,AR,County,Pulaski County Elected Officials,AR,Pulaski,,Pulaski County,Circuit/County Clerk,Larry Crane,http://co.pulaski.ar.us/circuit-countyclerk.shtml,PulaskiClerk
NYe00995,NY,County,Putnam County Legislature,NY,Putnam,,Putnam County District 9,"County Legislature, District 9",Anthony DiCarlo,http://www.putnamcountyny.com/legi/legislators/district-9-legislator-anthony-dicarlo/,PutnamCountyGov
FEe00275,CA,Federal - Lower,US House of Representatives,CA,,,CA Congressional District 39,United States House of Representatives CA-39,Ed Royce,http://royce.house.gov/,RepEdRoyce
MSe00645,MS,County,Harrison County Board of Supervisors,MS,HARRISON,,"Harrison County, Supervisor District 1","Board of Supervisors, District 1","W.S. (Windy) Swetman, III",http://co.harrison.ms.us/bos/district1/,HarrisonMSBOS
NJe00102,NJ,County,Hunterdon Board of Chosen Freeholders,NJ,Hunterdon,,Hunterdon,Board of Chosen Freeholders,Robert Walton,http://www.co.hunterdon.nj.us/official/walton.htm,FreeholdrWalton
NYe00168,NY,County,Chautauqua County Legislature,NY,Chautauqua,,"Chautauqua County, District 1","County Legislature, District 1",Keith Ahlstrom,http://chautauqua.ny.us/departments/legislature/Lists/Legislators/DispForm.aspx?ID=1&Source=http%3A%2F%2Fchautauqua%2Eny%2Eus%2Fdepartments%2Flegislature%2FLists%2FLegislators%2FAllItems%2Easpx,ChautauquaGov
IAe00712,IA,County,Scott Board of Supervisors,IA,Scott,,Scott,Board of Supervisors,Larry Minard,http://www.scottcountyiowa.com/board/about_board.php?supervisor=minard,ScottCountyIowa
NYe00805,NY,County,Niagra Constitutional Officer,NY,Niagara,,Niagara,Sheriff,James Voutour,http://www.niagaracounty.com/Departments/Sheriff.aspx,NiagaraSheriff
MNe00367,MN,County,Hennepin Board of Commissioners,MN,Hennepin,,Hennepin County Commission District 6,"County Commission, District 6",Janis Callison,http://www.hennepin.us/portal/site/HennepinUS/menuitem.b1ab75471750e40fa01dfb47ccf06498/?vgnextoid=cb83900eeb7c2210VgnVCM10000049114689RCRD,hennepin
VAe000733,VA,County,Montgomery County Board of Supervisors,VA,Montgomery,,MONTGOMERY COUNTY Council District G,"Board of Supervisors, District G",Matthew Gabriele,,prof_gabriele
FEe00433,TN,Federal - Lower,US House of Representatives,TN,,,TN Congressional District 3,United States House of Representatives TN-03,Chuck Fleischmann,http://fleischmann.house.gov/,repchuck
NYe01073,NY,County,Schenectady County Legislature,NY,Schenectady,,Schenectady County District 2,"County Legislature, District 2",Philip Fields,http://www.schenectadycounty.com/FullStory.aspx?m=65&amid=273,schdycountyny
NYe00347,NY,County,Dutchess County Legislature,NY,Dutchess,,Dutchess County District 7,"County Legislature, District 7",Richard Perkins,http://www.co.dutchess.ny.us/CountyGov/Departments/Legislature/CLlegislators.htm,DutchessCoGov
NJe00151,NJ,County,Ocean Constitutional Officer,NJ,Ocean,,Ocean,Sheriff,William Polhemus,http://www.co.ocean.nj.us/OCsheriff/ContentPage.aspx?ID=d190fe80-0320-4f11-b42f-55bff47603d9,OceanCounty911
KSe00466,KS,County,Lyon County Board of Commissioners,KS,Lyon,,Lyon County,County Commission,Dan Slater,http://lyoncounty.org/index/?page_id=31,LyonCountyKs
NYe01211,NY,County,Suffolk Constitutional Officers,NY,Suffolk,,Suffolk,Sheriff,Vincent DeMarco,http://www.suffolkcountyny.gov/sheriff/PublicInformation/Administration/SheriffDeMarcosBio.aspx,Suffolk_Sheriff
VAe000009,VA,Federal - Lower,US House of Representatives,VA,,,VA Congressional District 7,United States House of Representatives - VA-07,Eric Cantor,http://cantor.house.gov/,GOPLeader
TNe00218,TN,County,Bradley County Elected Officials,TN,Bradley,,"Bradley County Commission, District 4","County Commission, District 4",J. Adam Lowe,,BradleyMatters
CIe00548,NJ,City,Newark Council,NJ,,Newark,"Newark, Ward West","Council, Ward West",Ronald C. Rice,http://www.ci.newark.nj.us/government/the_municipal_council/ronald_c_rice/,ronaldcrice
SLe005620,PA,State Legislature Upper,PA State Senate,PA,,,PA State Senate - District 7,PA State Senate District 7,Vincent J. Hughes,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=152,SenatorHughes
FEe00117,MS,Federal - Lower,US House of Representatives,MS,,,MS Congressional District 2,United States House of Representatives MS-02,Bennie G. Thompson,http://benniethompson.house.gov/,BennieGThompson
CIe00302,IL,City,Chicago Council,IL,,Chicago,"Chicago, Ward 25","Council, Ward 25",Daniel Solis,http://www.cityofchicago.org/city/en/about/wards/25.html,AldermanSolis
VAe000133,VA,State Legislature Lower,VA House of Delegates,VA,,,VA House District 71,VA State House of Delegates - District 071,Jennifer L. McClellan,http://dela.state.va.us/dela/MemBios.nsf/a7b082ef6ed01eac85256c0d00515644/5504c12a9661827785257b6400456911?OpenDocument,JennMcClellanVA
FEe00028,CA,Federal - Lower,US House of Representatives,CA,,,CA Congressional District 30,United States House of Representatives CA-30,Brad Sherman,http://bradsherman.house.gov/,BradSherman
VAe001133,VA,City,Danville City Council,VA,,DANVILLE,DANVILLE CITY,Council,Adam J. Tomer,http://www.danville-va.gov/index.aspx?NID=879,Councilman_T
NYe00121,NY,County,Cattaraugus County Legislature,NY,Cattaraugus,,"Cattaraugus County, District 3","County Legislature, District 3",Norman Marsh,http://www.cattco.org/legislators/norman-l-marsh,cattaraugus
SLe000698,CT,State Legislature Lower,CT State House,CT,,,CT State House - District 53,CT State House District 53,Sam Belsito,http://cthousegop.com/sam-belsito/,belsito4ct
